Significant Wave Height (m),Peak Wave Period (s),Mean Spring Tidal Range (m),Extreme Storm Surge (m),Beach Width (m),Beach Face Slope (-),Median Grain Size D50 (mm),Dune Crest Elevation (m),Nearshore Bathymetric Slope (-),Historical Shoreline Change Rate (m/yr),Sediment Budget Balance (m3/m/yr),Vegetation Cover (%),Relative Sea-Level Rise (mm/yr),Coastal Erosion Risk Class
NaN,8.03,0.71,1.06,71.91,NaN,0.122,4.91,0.0161,3.58,18.59,60.6,2.36,Stable or Accreting
2.71,11.12,4.27,1.52,50.57,0.0346,NaN,3.98,0.0259,-1.53,-2.05,6.5,5.85,High Susceptibility
2.83,12.1,3.08,1.55,47.86,0.0537,0.38,6.8,0.0277,NaN,-15.32,16.2,2.2,Moderate Susceptibility
2.53,11.74,1.0,1.76,59.08,NaN,0.46,NaN,0.0354,-0.71,-4.45,46.0,5.12,Low Susceptibility
2.37,NaN,1.35,1.64,NaN,0.0608,0.768,NaN,NaN,-0.12,-6.78,28.6,1.81,Low Susceptibility
1.14,6.81,0.6,1.16,45.1,0.0161,0.12,3.7,0.0171,-2.65,-11.07,12.4,9.06,High Susceptibility
1.63,NaN,0.87,NaN,NaN,0.0316,0.33,8.35,0.0287,1.44,9.23,64.5,2.63,Stable or Accreting
2.33,10.32,0.54,1.49,37.71,0.0449,0.785,2.09,0.0231,-0.53,-1.98,14.5,4.86,High Susceptibility
1.08,8.06,5.17,1.21,NaN,0.0307,0.709,7.32,0.0198,NaN,2.6,50.4,6.15,Low Susceptibility
2.38,11.48,0.2,2.08,19.86,0.0247,0.299,1.26,0.0221,-3.05,-12.6,0.0,7.03,Critical Erosion Hotspot
3.09,15.13,0.2,2.0,61.87,0.0389,0.167,6.83,0.0229,-2.91,-15.85,1.9,3.25,High Susceptibility
2.14,10.43,0.25,2.04,67.01,0.0384,0.307,5.35,0.0209,0.58,2.01,51.1,7.18,Low Susceptibility
1.06,7.52,NaN,1.03,111.73,0.0217,0.13,6.97,0.013,2.14,18.77,65.2,5.14,Stable or Accreting
1.51,7.5,5.07,0.74,62.39,NaN,0.356,4.36,0.0219,-1.5,-6.38,36.5,4.6,Moderate Susceptibility
1.36,8.89,4.91,0.43,31.03,0.0305,0.666,3.17,0.0367,-0.33,NaN,25.1,5.22,Moderate Susceptibility
1.09,10.26,0.21,1.41,36.23,0.015,0.231,3.89,0.0168,-1.93,-7.97,NaN,6.67,Moderate Susceptibility
2.29,11.93,4.84,0.99,48.26,0.0398,0.698,5.41,0.0353,-0.71,NaN,38.0,1.28,Low Susceptibility
1.82,9.6,0.71,1.11,NaN,0.0559,0.705,4.03,0.0454,0.83,9.07,16.4,3.97,Moderate Susceptibility
1.39,10.9,4.25,0.86,45.99,0.0321,0.322,4.58,0.0258,0.87,11.89,16.2,4.75,Moderate Susceptibility
1.53,NaN,2.21,1.7,55.36,0.0189,0.16,6.1,0.0114,-2.11,-7.48,15.2,4.83,Moderate Susceptibility
1.61,9.94,0.2,0.76,127.71,0.0356,0.49,10.12,NaN,3.6,22.0,66.5,2.59,Stable or Accreting
1.98,11.11,4.11,NaN,76.36,0.0153,0.189,7.64,0.0125,-0.32,1.11,47.9,4.13,Low Susceptibility
1.69,9.3,NaN,1.96,65.26,0.0281,0.137,5.6,NaN,-2.67,-9.04,16.3,8.28,High Susceptibility
1.99,10.61,NaN,1.49,64.16,0.015,0.147,NaN,0.0224,-2.6,-11.84,NaN,5.28,High Susceptibility
0.59,8.81,4.91,NaN,76.25,NaN,0.531,6.79,0.0293,0.8,1.41,43.1,4.5,Stable or Accreting
1.39,12.53,1.38,0.92,NaN,NaN,1.089,3.71,NaN,0.23,-3.47,NaN,2.65,Low Susceptibility
NaN,9.03,3.06,1.33,NaN,0.0503,0.712,7.73,0.0266,1.38,10.75,64.5,NaN,Stable or Accreting
3.35,12.13,4.37,1.59,34.1,0.0267,0.12,4.76,NaN,-1.77,-2.17,0.0,3.64,Moderate Susceptibility
2.75,9.61,2.97,1.68,65.79,0.0596,0.635,5.85,0.041,-0.71,-3.96,21.1,5.23,Moderate Susceptibility
2.52,9.18,3.78,1.44,NaN,0.0325,0.307,4.1,0.0281,-2.68,-10.71,0.0,1.11,Moderate Susceptibility
2.83,10.82,0.2,2.1,28.96,0.0376,0.403,3.54,0.0224,-2.88,-12.42,0.0,2.34,High Susceptibility
1.74,9.43,4.35,1.43,101.6,0.0271,0.326,9.73,0.0137,-0.09,6.09,62.4,4.05,Low Susceptibility
1.35,7.87,2.78,1.02,65.7,0.0279,0.393,5.1,0.0251,0.04,2.26,32.9,6.91,Low Susceptibility
2.81,14.09,0.22,2.03,59.53,0.0572,NaN,7.9,0.0403,-0.0,-0.75,NaN,3.16,Low Susceptibility
0.78,5.55,1.07,0.6,97.47,0.0171,NaN,5.86,0.0148,3.6,21.06,50.7,4.61,Stable or Accreting
1.8,8.2,3.21,1.33,83.24,0.0193,0.248,8.63,0.02,-0.9,-9.93,42.3,3.2,Low Susceptibility
2.02,9.77,0.63,1.4,78.73,0.0267,0.352,6.78,0.0268,2.8,15.18,53.0,3.68,Stable or Accreting
1.25,9.3,2.17,0.47,98.39,0.0654,0.833,8.7,0.0521,1.89,13.41,60.7,3.43,Stable or Accreting
1.4,12.37,1.74,0.71,98.02,0.0522,NaN,9.67,0.0371,-0.26,-0.78,73.7,2.87,Low Susceptibility
1.75,NaN,2.61,1.26,102.53,0.0308,0.395,8.97,0.0233,0.44,-1.24,63.3,2.13,Low Susceptibility
2.45,12.31,0.93,2.07,86.11,0.0481,0.702,8.44,0.0423,-1.34,-6.06,36.9,4.47,Low Susceptibility
1.02,10.01,0.96,1.16,81.89,0.0398,0.277,6.13,0.0271,1.58,11.41,40.8,5.83,Stable or Accreting
0.63,5.21,0.68,1.42,101.1,0.0216,0.536,7.65,0.0299,2.62,15.16,53.3,6.05,Stable or Accreting
2.7,10.03,1.14,1.74,47.32,0.0729,NaN,4.85,0.055,0.16,9.51,26.7,3.03,Moderate Susceptibility
3.22,12.77,2.19,1.91,NaN,0.0858,1.252,9.9,0.0561,1.47,7.64,50.9,2.98,Stable or Accreting
2.74,9.25,1.33,1.57,16.59,0.0376,0.398,1.37,0.0386,-1.73,-8.87,0.0,3.01,Critical Erosion Hotspot
2.45,13.17,4.76,0.98,NaN,0.02,0.301,10.19,0.0196,2.61,11.0,59.3,3.04,Stable or Accreting
1.79,10.73,0.72,1.35,76.87,0.0239,0.318,7.79,0.028,-0.2,-0.5,NaN,3.4,Low Susceptibility
1.94,11.57,4.05,1.15,50.74,0.0342,0.321,5.92,0.0326,-0.49,1.4,NaN,NaN,Moderate Susceptibility
0.91,6.32,1.07,NaN,101.37,0.0305,0.285,NaN,0.0145,NaN,18.88,56.3,3.0,Stable or Accreting
2.16,NaN,0.45,1.66,78.19,0.0205,0.189,7.24,0.0157,0.1,-5.56,48.0,2.18,Low Susceptibility
1.42,NaN,3.58,0.77,64.03,0.0383,0.618,6.76,0.0308,-2.2,-18.4,42.5,1.82,Moderate Susceptibility
1.99,7.94,5.01,1.29,75.67,0.0211,0.293,7.5,0.0222,NaN,-8.16,24.8,5.62,Moderate Susceptibility
1.52,7.3,1.77,0.88,90.06,0.018,0.352,8.06,0.0128,1.05,8.78,44.3,2.4,Stable or Accreting
2.39,13.89,0.52,1.49,47.32,NaN,0.291,5.09,0.0159,-1.26,-4.03,15.3,3.57,Moderate Susceptibility
2.62,NaN,0.34,1.38,NaN,0.0566,0.871,2.64,0.0385,-3.05,-11.16,0.0,5.4,High Susceptibility
1.42,8.55,NaN,0.62,80.05,0.0151,0.12,6.5,0.009,0.2,NaN,NaN,2.79,Stable or Accreting
1.14,6.95,1.13,0.73,102.8,0.0352,0.46,9.01,0.0256,NaN,14.9,66.2,0.8,Stable or Accreting
1.98,8.96,1.38,0.92,77.06,0.0335,0.496,7.35,0.0275,2.61,13.52,42.9,3.08,Stable or Accreting
NaN,13.85,5.22,1.41,36.87,0.0468,0.4,4.1,NaN,-1.46,-4.74,8.0,2.17,Moderate Susceptibility
1.5,7.24,4.02,0.99,105.73,0.0395,0.622,9.48,0.0332,1.35,5.02,NaN,2.42,Stable or Accreting
2.64,12.28,0.65,1.49,34.0,0.0478,0.71,3.94,0.0334,-1.86,-8.23,1.9,3.92,High Susceptibility
2.22,11.19,4.11,1.39,64.57,0.0401,0.777,6.97,0.0341,-1.11,-5.99,43.3,6.84,Low Susceptibility
2.9,10.93,0.37,1.71,81.35,0.0374,0.542,8.03,0.0374,-0.04,1.01,58.1,2.03,Low Susceptibility
2.15,9.12,1.87,1.25,85.5,0.0188,NaN,7.49,0.0174,1.49,6.06,60.4,3.04,Stable or Accreting
2.03,11.26,0.45,1.78,39.31,0.015,NaN,2.48,0.0177,-2.41,-3.71,0.0,7.69,High Susceptibility
2.05,NaN,0.2,2.16,24.7,0.0181,0.132,2.82,NaN,-2.34,NaN,6.0,8.76,Critical Erosion Hotspot
2.92,13.06,2.72,1.69,77.23,NaN,1.243,7.78,0.0607,-0.78,-6.14,31.4,3.52,Moderate Susceptibility
1.56,8.94,4.03,0.99,62.31,0.0279,0.298,5.29,0.0269,-0.73,-1.57,34.1,4.36,Moderate Susceptibility
1.75,NaN,0.2,1.64,22.78,0.0211,0.139,0.9,0.0203,-1.84,-4.37,0.0,NaN,Critical Erosion Hotspot
2.31,9.06,2.19,2.09,115.13,0.0335,0.323,9.02,0.0263,-0.1,9.35,62.9,6.51,Low Susceptibility
2.18,10.07,4.73,1.36,63.49,0.0249,NaN,3.82,0.0207,0.59,7.16,38.9,7.45,Moderate Susceptibility
0.99,8.33,0.93,1.39,112.09,0.0221,0.318,10.96,0.0194,0.99,-0.34,75.8,5.58,Stable or Accreting
1.95,9.5,0.71,1.23,24.99,0.0337,0.466,3.67,0.0233,-1.8,-9.26,13.8,2.81,Moderate Susceptibility
1.67,9.53,0.39,1.27,53.75,0.0351,0.628,4.71,0.0296,-1.63,-1.1,17.4,4.99,Moderate Susceptibility
3.0,11.89,1.31,NaN,NaN,0.0351,0.443,6.66,0.0282,NaN,-14.16,18.3,6.05,Moderate Susceptibility
1.74,8.89,0.2,NaN,21.1,0.0329,0.517,3.09,0.0186,NaN,NaN,0.0,6.35,High Susceptibility
2.36,11.16,2.67,1.5,94.42,0.0653,0.993,8.78,0.0499,1.42,6.42,63.4,4.29,Stable or Accreting
2.31,10.19,0.41,1.34,91.63,0.023,0.311,8.33,0.0197,1.14,6.49,49.7,1.64,Stable or Accreting
2.2,12.95,0.37,1.33,67.7,0.039,0.443,6.38,0.0278,-3.2,-15.64,12.6,6.09,Moderate Susceptibility
1.14,9.57,4.29,1.04,NaN,0.0265,0.504,6.81,0.031,-1.95,-8.06,34.1,NaN,Low Susceptibility
1.09,8.49,0.64,0.77,109.35,0.0233,0.201,8.24,0.024,2.86,NaN,60.5,4.29,Stable or Accreting
3.94,16.12,1.64,2.05,93.58,0.0866,1.354,9.25,0.0633,1.53,NaN,49.3,4.63,Low Susceptibility
0.45,8.1,4.64,1.27,101.25,0.0264,0.262,9.01,0.0159,-0.28,1.01,NaN,4.32,Low Susceptibility
2.15,9.99,3.58,1.59,NaN,0.037,0.387,6.46,0.0268,NaN,6.94,47.8,3.14,Low Susceptibility
2.65,13.55,3.86,1.85,32.49,0.0372,0.595,3.72,0.0279,-2.86,-10.09,10.2,5.45,High Susceptibility
1.8,11.77,3.12,NaN,NaN,0.0367,0.472,7.1,0.0219,-0.05,2.32,54.3,4.55,Low Susceptibility
2.63,10.35,0.25,2.34,8.0,0.0175,0.12,0.8,0.0172,-4.18,-12.78,0.0,6.67,Critical Erosion Hotspot
3.02,11.57,0.47,1.78,88.01,0.0272,0.182,7.01,0.0198,1.62,8.92,NaN,2.47,Stable or Accreting
2.87,NaN,4.38,1.88,40.88,0.0246,0.12,4.44,0.0137,-3.55,-20.73,0.0,6.99,High Susceptibility
3.24,11.71,0.73,1.7,22.54,0.0216,0.235,2.08,0.0262,-0.32,5.18,7.8,5.88,High Susceptibility
2.03,13.45,3.45,1.03,77.22,0.0205,0.141,6.53,0.0155,-0.34,-3.34,27.6,3.13,Low Susceptibility
1.81,10.72,0.74,1.54,NaN,0.0218,NaN,5.71,0.0225,0.96,7.21,NaN,4.99,Stable or Accreting
1.46,6.18,0.35,NaN,NaN,NaN,0.59,NaN,0.0254,-0.33,-4.45,35.5,5.36,Low Susceptibility
1.96,9.11,1.36,1.34,33.77,0.0777,1.302,5.84,0.0637,-1.54,-7.56,0.0,3.39,Moderate Susceptibility
2.03,9.8,0.27,1.98,NaN,0.0227,0.12,0.8,0.0136,-4.87,-17.83,0.0,6.56,Critical Erosion Hotspot
1.68,9.22,0.4,1.69,14.61,0.015,0.126,1.17,0.0061,-3.46,-10.85,NaN,8.72,Critical Erosion Hotspot
1.31,10.09,3.38,0.7,96.72,0.0239,0.345,6.63,0.0168,0.74,6.97,43.4,5.48,Stable or Accreting
2.88,13.03,0.9,1.83,29.06,0.0297,0.12,NaN,0.0227,-2.58,-14.2,3.6,2.25,Moderate Susceptibility
1.49,5.91,1.6,0.73,127.65,0.037,0.438,10.96,0.0217,2.07,13.43,61.5,2.58,Stable or Accreting
2.54,10.12,0.58,2.22,13.05,0.0325,0.179,0.93,0.0235,-2.89,-9.7,0.0,8.3,Critical Erosion Hotspot
2.11,9.97,3.26,1.23,54.4,0.0277,0.313,5.82,NaN,-0.98,-1.91,10.4,1.72,Low Susceptibility
1.67,9.17,5.27,1.72,66.42,0.0337,0.544,6.78,0.0308,-1.75,-6.73,42.6,6.27,Moderate Susceptibility
2.2,9.9,4.2,0.97,75.8,NaN,0.305,6.31,0.0056,-3.04,-13.05,29.4,NaN,Moderate Susceptibility
3.18,13.73,0.25,1.72,30.69,0.0422,0.382,2.14,NaN,-2.33,-13.05,0.0,4.39,Critical Erosion Hotspot
NaN,11.74,2.91,0.83,NaN,0.033,0.432,4.5,0.0219,-0.75,1.34,24.0,1.73,Moderate Susceptibility
1.45,7.62,3.71,0.94,NaN,0.0394,0.317,3.12,0.02,-1.06,-3.34,19.7,5.87,Moderate Susceptibility
NaN,8.73,NaN,0.96,109.02,0.0294,0.349,8.7,0.0204,3.33,13.58,62.8,3.34,Stable or Accreting
2.26,8.83,0.54,1.15,31.24,0.0383,0.688,4.4,NaN,-0.69,-6.2,20.4,1.44,Low Susceptibility
3.05,11.01,0.85,1.33,52.18,0.0437,0.559,5.45,0.0329,-0.97,-5.23,16.0,2.39,Low Susceptibility
1.23,8.06,3.27,0.56,72.59,0.0258,0.351,NaN,NaN,1.82,11.02,72.3,3.16,Stable or Accreting
2.15,8.73,4.33,2.17,37.36,0.0401,0.347,4.18,0.0242,-2.71,-7.55,0.0,3.88,High Susceptibility
1.61,7.34,4.33,0.61,66.59,0.015,0.225,7.21,0.0129,1.09,0.35,50.7,4.24,Stable or Accreting
2.76,10.08,0.2,NaN,58.28,0.0289,0.181,4.17,0.0193,NaN,-8.35,NaN,8.4,High Susceptibility
NaN,13.38,0.71,1.95,74.75,0.054,NaN,9.38,0.0462,-1.62,-5.06,35.1,5.43,Moderate Susceptibility
NaN,10.73,2.0,1.05,90.55,0.034,0.374,7.96,0.0248,0.67,3.84,57.6,3.06,Stable or Accreting
2.12,NaN,0.2,2.2,35.88,0.0194,0.213,4.32,0.0254,-4.23,-18.62,0.0,6.0,High Susceptibility
2.26,10.96,0.51,1.34,54.68,0.0231,0.25,5.07,0.0195,-2.42,-13.95,17.9,4.01,Moderate Susceptibility
0.76,4.58,0.81,1.25,NaN,NaN,0.316,9.83,0.0171,NaN,12.21,NaN,6.51,Stable or Accreting
3.26,15.12,0.84,NaN,NaN,0.0852,1.289,7.03,0.0651,-2.74,-10.73,11.9,2.97,Moderate Susceptibility
2.72,NaN,0.23,1.75,46.9,0.0493,0.681,6.5,0.0325,-1.0,-10.79,24.1,NaN,Moderate Susceptibility
2.83,11.93,1.06,2.23,8.0,0.0307,0.345,0.8,0.0229,-4.49,-11.23,0.0,NaN,Critical Erosion Hotspot
2.3,10.15,4.74,1.44,94.65,0.0266,0.23,8.06,0.0156,-2.33,-5.25,41.2,6.96,Moderate Susceptibility
2.46,10.95,4.5,1.8,44.4,0.027,0.189,4.01,0.0242,-1.79,-9.06,21.4,7.02,High Susceptibility
2.4,12.27,0.43,2.16,61.44,0.0395,0.558,6.08,0.0297,-2.29,-7.22,0.2,6.06,Moderate Susceptibility
2.87,10.53,0.63,1.77,20.82,0.046,NaN,3.65,0.0296,-1.05,NaN,NaN,2.43,Moderate Susceptibility
2.14,12.22,NaN,1.67,23.22,0.026,0.12,1.65,0.0147,-3.29,-12.97,0.0,8.92,Critical Erosion Hotspot
NaN,6.39,1.52,0.65,73.35,0.015,0.12,5.78,0.0085,1.4,2.96,39.7,2.89,Stable or Accreting
3.27,12.83,0.54,1.92,30.08,0.0371,0.272,3.39,0.023,-4.39,-16.29,0.0,5.94,High Susceptibility
0.96,10.6,0.49,1.01,8.0,0.015,0.228,0.8,0.0077,-3.61,-13.29,0.0,5.98,Critical Erosion Hotspot
2.58,11.74,0.26,1.73,59.02,0.0421,0.263,6.42,0.0217,-1.09,-3.58,31.2,4.27,Low Susceptibility
2.47,11.53,3.67,1.48,89.6,0.02,0.24,8.53,0.0108,-0.45,3.84,52.3,NaN,Low Susceptibility
2.06,11.84,2.7,NaN,76.01,0.0591,0.613,8.04,0.0387,-2.68,-11.9,25.7,4.51,Low Susceptibility
1.43,10.33,3.12,NaN,43.95,0.0176,0.197,3.09,0.0145,0.23,1.41,19.9,4.36,Moderate Susceptibility
2.37,11.05,4.66,1.89,60.6,0.0274,0.212,4.2,0.0183,-2.3,-15.12,NaN,NaN,High Susceptibility
3.27,13.9,1.41,2.11,57.6,0.0467,NaN,6.29,0.0438,-2.15,-5.4,16.3,4.47,Moderate Susceptibility
1.83,12.16,0.77,1.48,67.39,NaN,NaN,8.59,0.0343,-1.41,-12.9,29.2,2.63,Low Susceptibility
2.11,10.52,4.5,NaN,67.32,0.0302,0.431,6.52,0.0303,-0.65,-4.56,40.8,6.28,Moderate Susceptibility
2.9,11.09,0.49,1.81,16.95,0.0378,0.429,3.85,NaN,-3.84,-16.76,0.0,3.24,High Susceptibility
2.18,13.63,0.93,1.16,108.49,0.0571,0.69,9.75,0.0455,-0.22,-1.97,NaN,3.11,Low Susceptibility
0.81,8.14,3.98,0.83,97.01,NaN,0.579,9.25,0.0351,-0.99,-5.2,60.1,3.56,Low Susceptibility
2.38,11.49,4.42,1.6,43.24,0.034,0.331,2.73,NaN,-1.27,-6.34,0.0,6.34,High Susceptibility
2.1,10.85,2.2,1.73,33.51,0.0375,0.36,4.17,0.0305,-2.3,NaN,1.0,4.24,High Susceptibility
1.57,10.81,2.32,1.59,70.83,0.0333,0.67,6.78,0.035,-1.32,NaN,39.1,8.08,Moderate Susceptibility
2.3,9.83,1.41,1.75,49.42,0.0319,0.173,5.37,0.0189,NaN,-4.77,10.2,4.49,Moderate Susceptibility
1.99,9.88,0.79,1.27,95.57,0.0558,0.851,9.26,0.0382,0.33,0.5,65.6,2.08,Stable or Accreting
2.79,10.67,2.31,1.47,16.0,0.0271,0.383,2.83,0.0234,-2.12,-8.94,0.0,2.05,High Susceptibility
3.45,NaN,4.92,1.79,65.31,0.0319,0.256,5.77,0.0261,-1.72,-10.83,32.2,5.16,Moderate Susceptibility
1.99,10.26,3.89,1.52,70.06,0.0349,0.343,5.92,0.0169,2.28,15.17,19.4,5.37,Low Susceptibility
1.74,7.3,0.27,2.17,29.84,0.0227,0.12,1.85,0.0158,-3.57,-13.34,NaN,6.29,Critical Erosion Hotspot
1.88,9.51,0.56,2.03,8.0,0.0248,0.144,0.8,0.0145,-4.22,-18.06,0.0,9.02,Critical Erosion Hotspot
0.75,8.61,0.98,1.34,91.94,0.0453,0.601,6.34,0.0296,2.71,14.42,61.9,4.23,Stable or Accreting
0.86,8.26,3.12,0.43,34.53,0.0333,0.619,2.25,0.0239,-1.02,0.97,11.3,3.7,Moderate Susceptibility
2.68,9.84,0.58,2.39,20.74,0.0308,0.237,0.81,0.0226,-3.15,-7.95,NaN,9.68,Critical Erosion Hotspot
2.61,10.61,0.3,1.57,76.24,0.0384,0.651,8.17,0.0273,-3.39,-17.85,15.4,5.42,Moderate Susceptibility
2.57,11.66,3.89,1.93,58.64,0.0369,0.332,7.04,0.0268,NaN,NaN,23.1,1.63,Low Susceptibility
1.26,8.49,2.72,1.21,29.13,0.0259,0.276,2.27,0.0172,-0.65,0.17,NaN,3.71,Moderate Susceptibility
1.15,6.38,0.47,0.82,23.51,NaN,0.268,NaN,0.0141,-2.07,-6.75,5.1,NaN,Moderate Susceptibility
2.72,10.94,4.38,1.55,42.11,0.0467,0.445,4.03,0.0272,-1.68,-12.49,16.5,6.36,High Susceptibility
2.18,12.41,0.3,NaN,80.87,0.0231,0.357,5.73,0.0286,-3.71,-16.69,8.6,8.15,High Susceptibility
NaN,11.53,5.23,0.76,102.89,0.0307,0.398,8.59,0.0225,-0.24,-5.47,60.3,4.36,Low Susceptibility
1.28,NaN,5.03,0.62,51.54,0.015,0.183,4.62,0.0173,1.48,6.92,NaN,4.22,Low Susceptibility
2.45,11.86,0.54,1.77,47.86,0.0441,0.611,3.3,0.0326,-3.19,-8.59,0.5,NaN,High Susceptibility
3.89,13.93,2.18,1.74,80.39,0.0816,1.146,9.9,0.0596,-1.04,-3.02,35.2,1.1,Low Susceptibility
1.35,8.78,2.12,0.67,73.95,0.029,0.392,6.01,0.0241,1.19,5.77,52.3,2.16,Stable or Accreting
2.17,10.76,4.04,1.01,87.75,0.0202,0.284,6.59,0.0226,2.15,13.69,54.1,4.39,Stable or Accreting
1.02,NaN,1.08,1.09,107.1,0.015,0.12,9.27,0.0152,3.6,19.15,72.0,4.79,Stable or Accreting
2.06,9.29,5.27,1.26,27.29,0.0341,0.392,3.33,0.0259,-3.1,-9.02,2.5,5.52,High Susceptibility
2.77,10.67,4.52,1.89,19.27,0.0308,0.231,2.72,0.0214,-1.49,NaN,0.0,4.96,High Susceptibility
2.94,10.94,NaN,2.76,31.41,0.0247,0.155,1.47,0.0242,NaN,-4.44,0.0,7.03,Critical Erosion Hotspot
NaN,10.54,0.35,1.44,41.06,0.015,0.12,2.39,0.0109,-1.33,4.08,NaN,5.61,High Susceptibility
1.77,9.57,0.2,2.06,43.29,0.0353,0.281,1.94,0.0213,-1.9,-6.49,16.3,8.25,High Susceptibility
0.65,NaN,0.86,0.79,99.77,0.0224,0.278,6.86,0.0128,1.64,7.23,60.6,4.45,Stable or Accreting
3.44,14.53,NaN,1.68,8.0,0.0413,NaN,2.72,0.0247,-3.77,NaN,NaN,NaN,Critical Erosion Hotspot
2.31,10.08,4.7,1.0,83.27,0.0274,0.157,9.7,0.0173,NaN,1.71,53.7,NaN,Stable or Accreting
3.02,12.49,0.37,1.77,NaN,0.0356,0.226,6.25,0.0172,NaN,-2.36,11.9,6.91,Moderate Susceptibility
1.48,NaN,2.46,0.52,80.57,0.0384,0.393,6.4,0.0265,NaN,6.55,36.8,2.88,Stable or Accreting
2.16,12.3,0.2,1.44,8.0,0.0235,NaN,0.8,0.0162,-4.59,NaN,0.0,5.54,Critical Erosion Hotspot
0.89,6.83,4.03,0.89,102.37,0.0445,0.768,8.95,0.0353,2.98,13.77,51.6,4.04,Stable or Accreting
2.64,13.88,0.27,1.37,19.73,0.0623,1.119,3.85,0.046,-2.09,-13.09,NaN,2.72,High Susceptibility
NaN,5.88,1.47,1.06,86.87,0.015,0.12,6.03,0.013,0.07,-0.52,42.7,7.61,Low Susceptibility
2.25,9.53,4.45,1.75,56.38,0.0346,0.158,3.1,0.0162,-0.78,-0.93,25.8,6.73,High Susceptibility
1.89,10.09,5.74,1.32,99.49,0.0258,0.316,7.31,0.0235,-0.79,-2.57,50.0,7.03,Low Susceptibility
2.06,12.92,1.36,1.59,46.57,0.0394,0.802,4.5,0.0371,-0.85,2.94,26.9,2.68,Moderate Susceptibility
1.54,NaN,0.38,1.5,28.58,0.0224,0.252,2.54,0.0193,-0.38,5.81,16.5,7.62,High Susceptibility
1.7,8.46,NaN,1.26,58.13,0.0359,NaN,5.33,0.0303,-0.44,-5.49,25.4,2.34,Low Susceptibility
0.82,7.92,1.38,0.78,99.44,NaN,0.256,9.12,0.0087,1.31,-2.95,51.2,3.6,Low Susceptibility
2.92,10.22,3.82,1.98,89.77,0.0438,0.541,10.12,0.0307,-2.37,-11.02,69.9,6.11,Moderate Susceptibility
2.74,12.28,0.94,1.47,NaN,NaN,1.371,9.38,0.0544,-0.19,2.71,44.3,NaN,Low Susceptibility
2.56,13.21,NaN,1.96,61.15,0.0396,0.572,5.74,0.0336,-3.2,-11.03,15.7,7.03,High Susceptibility
2.78,12.38,NaN,2.26,36.56,0.0451,0.757,6.51,0.0326,NaN,-10.05,19.7,2.72,Moderate Susceptibility
0.54,6.6,0.5,0.98,88.53,0.0378,0.51,7.28,0.0265,-1.03,-5.05,38.9,NaN,Low Susceptibility
2.98,12.62,0.72,1.65,42.46,0.0527,1.125,3.8,0.0554,-3.21,-13.61,NaN,5.45,High Susceptibility
1.5,10.36,4.73,NaN,69.22,0.03,0.388,5.25,0.0294,0.18,-0.54,48.1,4.25,Low Susceptibility
1.27,8.39,0.2,1.0,96.58,0.0235,0.239,6.84,0.0127,2.46,14.22,40.5,NaN,Stable or Accreting
NaN,10.13,0.56,1.95,8.0,0.0443,0.532,0.8,0.0311,-3.69,-8.89,0.0,6.11,Critical Erosion Hotspot
1.75,8.61,1.17,0.35,125.17,0.0226,0.466,9.61,0.0272,1.36,NaN,NaN,5.12,Stable or Accreting
3.21,12.7,0.34,2.02,NaN,0.0465,0.749,0.99,NaN,-2.78,-4.4,0.0,8.6,Critical Erosion Hotspot
2.42,11.81,0.2,1.66,13.67,0.0321,0.273,0.8,0.0126,-3.71,-10.08,0.0,8.2,Critical Erosion Hotspot
2.68,13.13,0.2,2.06,28.78,0.0356,0.429,3.78,NaN,-3.6,-7.37,0.0,4.74,High Susceptibility
2.37,8.88,0.84,1.84,52.86,0.0526,0.937,5.63,0.0398,-2.26,-10.47,0.7,3.71,Moderate Susceptibility
2.29,8.0,5.28,NaN,59.14,0.0311,0.614,3.27,0.0329,-2.06,-6.79,6.4,4.34,High Susceptibility
2.96,13.89,0.2,1.37,77.2,0.0364,0.476,8.74,0.0254,-2.41,-12.33,31.3,2.61,Low Susceptibility
1.3,8.42,4.71,0.9,64.61,0.0413,0.628,5.92,0.0464,-0.76,NaN,48.9,2.53,Low Susceptibility
1.46,8.98,5.53,0.76,50.51,0.0398,0.521,3.5,0.0309,-2.05,-8.43,0.9,6.44,High Susceptibility
3.2,12.33,2.02,2.09,67.16,0.0592,0.805,6.66,0.0477,-0.37,2.86,41.7,3.08,Moderate Susceptibility
1.94,12.41,3.56,0.86,79.9,0.021,0.222,3.61,0.0223,-0.85,-2.27,40.7,6.36,Moderate Susceptibility
3.05,13.1,NaN,1.85,16.03,0.032,0.476,2.78,0.0244,-2.2,NaN,NaN,4.46,High Susceptibility
2.61,12.15,0.34,2.17,61.84,0.0296,NaN,5.82,0.0314,NaN,-2.09,38.6,6.71,Low Susceptibility
1.82,10.86,3.89,1.42,51.7,0.026,0.357,3.9,0.0147,-1.78,NaN,12.2,3.36,Moderate Susceptibility
2.15,10.99,3.98,1.4,40.84,0.0372,0.547,3.04,0.0288,-0.85,-3.63,25.3,4.79,Moderate Susceptibility
NaN,12.51,1.61,1.64,62.27,0.0673,0.787,7.48,0.0456,0.25,8.91,55.2,3.67,Moderate Susceptibility
2.67,NaN,0.36,2.07,60.25,0.0373,0.53,6.55,0.0347,-1.59,-7.89,28.3,5.63,Moderate Susceptibility
